idx,sentence,label
7285,", if disingenuous , ",0
60506,becomes long and tedious ,0
65348,wilde 's wit and ,1
7894,is the kind of quirkily appealing minor movie she might not make for a while ,1
54827,brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special . ,1
55460,-- from the writing and direction to the soggy performances -- ,0
36157,an elegant film with often surprising twists and an intermingling of naiveté and sophistication . ,1
36053,this 10th film in the series looks and feels tired . ,0
18974,lacks balance ... and fails to put the struggle into meaningful historical context . ,0
62441,"can honestly describe as looking , sounding and simply feeling like no other film in recent history ",1
43559,its sleazy moralizing ,0
4941,"dull , ",0
24857,catapulting ,1
45566,"with nary an original idea ( or role , or edit , or score , or anything , really ) in sight ",0
63752,ingenious and often ,1
64672,the film does n't really care about the thousands of americans who die hideously ,0
5972,"behan 's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense ",1
7123,having fun with it all ,1
23251,crap on a leash -- far too polite to scale the lunatic heights of joe dante 's similarly styled gremlins ,0
64855,it begins to seem as long as the two year affair which is its subject ,0
37790,"enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play ",1
30794,"a fine , rousing , g-rated family film ",1
12752,"becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion ",1
58351,the demented mind ,0
59656,at once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance . ,0
25280,dud from frame one . ,0
30660,insane ,0
4653,is ultimately ,1
52920,are odd and pixilated and ,0
37315,carmen ( vega ) and ,1
45861,interpreting the play as a call for pity and sympathy ,0
8450,stupid characters ,0
2485,", still manages at least a decent attempt at meaningful cinema ",1
21358,"the first tunisian film i have ever seen , and it 's also probably the most good-hearted yet sensual entertainment i 'm likely to see all year ",1
38119,what kind of sewage they shovel into their mental gullets to simulate sustenance ,0
9260,nothing we have n't seen before from murphy ,0
17449,i was expecting ,0
15953,"the otherwise good-naturedness of mr. deeds , with its embrace of sheer goofiness and cameos of less ",1
60304,"fascinating , bombshell documentary ",1
51421,who are nearly impossible to care about ,0
10426,a seriously bad film with seriously ,0
63210,"even as the hero of the story rediscovers his passion in life , the mood remains oddly detached . ",0
37888,the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics . ,0
10067,"an affable but undernourished romantic comedy that fails to match the freshness of the actress-producer and writer 's previous collaboration , miss congeniality . ",0
4568,"its use of the thriller form to examine the labyrinthine ways in which people 's lives cross and change , ",1
57404,"meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen ",0
27571,lying ,0
3449,has a solid emotional impact . ,1
8289,parable that loves its characters and communicates something rather beautiful about human nature ,1
41982,good at being the ultra-violent gangster wannabe ,1
63560,a cheap thriller ,0
59004,catch the intensity of the movie 's strangeness ,1
32105,'s because relatively nothing happens . ,0
12037,", will find morrison 's iconoclastic uses of technology to be liberating . ",1
57289,heart or conservative ,1
49976,pompous ,0
40870,ensemble cast romances recently ,1
63996,"fresh , sometimes funny , and ",1
60526,bloody ,0
7498,"executed with such gentle but insistent sincerity , with such good humor ",1
58046,a compelling yarn ,1
58521,of how sandler is losing his touch ,0
39802,their funny bones tickled ,1
36629,the film is superficial and will probably be of interest primarily to its target audience ,0
65431,overlong soap ,0
28708,action confined to slo-mo gun firing and random glass-shattering ,0
56721,much of a plunge ,0
49691,that is worthy of our respect ,1
9081,predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell . ,1
26422,bogus ,0
13861,the jokes are sophomoric ,0
20921,"guy ritchie 's lock , ",1
9248,"the start -- and , refreshingly , ",1
48450,smart to ignore but a little too smugly superior to like ,0
19155,"initially gripping , eventually cloying pow drama . ",1
65576,how very bad a motion picture can truly be ,0
5510,a collectively stellar performance ,1
51775,that it ca n't help but engage an audience ,1
4551,bewilderingly ,0
10103,an american ( and an america ) always reaching for something just outside his grasp ,0
30575,of profound characterizations ,1
20779,spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? ,0
13509,dying and going ,0
